"file","overview"
"run.sh","Rewrote the library wrapper script: replaced the curl-downloaded .runner.sh indirection with a self-contained uv-based venv bootstrap (.tools/venv), added a self-update command, and pinned CESNET's private PyPI index (including a git-sourced rustfs fork of docker-services-cli)."
"draft_relations.md","New file. Design-notes doc analyzing what would need to change to let a pid-relation field point at an unpublished draft record."
"setup.py","Deleted. The package is now built solely from pyproject.toml."
"tools/strip_suppressions.py","New file. Maintenance script that tokenizes source files and strips stale mypy `# type: ignore` / ruff `# noqa` suppression comments (used while migrating from mypy to ty), leaving prose explanations intact by default."
"ty.toml","New file. `ty` type-checker config replacing mypy: ignores unresolved third-party imports, excludes os-v2/alembic directories."
"src/oarepo_model/api.py","Added debug logging through the build pipeline. Fixed the pre-preset user-customization ordering check to match by customization.modifies instead of customization.name against preset.depends_on. Wrapped each preset's customization loop with builder.start_preset/finish_preset and added a check_preset_declarations call after the build. Fixed run_checks to validate the built namespace instead of the model object (previously validated the wrong object, so it never actually checked anything)."
"src/oarepo_model/builder.py","Added _GuardedList/_GuardedDict wrapper classes that warn (PostBuildMutationWarning) instead of silently losing a mutation performed on a partial's raw container after it was built. BuilderClass gained guarded mixins/base_classes/fields properties plus add_field/set_mixins/set_base_classes. Removed the unused BuilderConstant partial. Unified BuilderFile/BuilderSymbolicLink under a new shared _FileLike base. Fixed generated classes' __module__ to point at the model's in-memory package instead of oarepo_model.builder (fixes tracebacks/pickling/marshmallow Nested dotted-path resolution). Fixed BuilderModule.build to correctly resolve staticmethod/classmethod/CachedDescriptor attributes instead of a broad callable-with-__get__ check that could wrongly bind plain functions. Added created_by/touched_by bookkeeping used by the new declaration-check warnings. Deduplicated add_class/add_class_list/add_list/add_dictionary/add_module/add_file/add_symlink through a shared _add helper."
"src/oarepo_model/cli.py","Added @with_appcontext to the model CLI group. Deduplicated the marshmallow/ui_marshmallow dump commands through a shared _dump_marshmallow helper. Fixed the 'only generated schemas' filter to check for an oarepo_model attribute instead of a __module__ string prefix, matching the builder.py __module__ fix."
"src/oarepo_model/errors.py","Added PresetDeclarationWarning and PostBuildMutationWarning classes backing the new declaration-check and mutation-guard features."
"src/oarepo_model/lazy.py","Removed a redundant __getitem__/__iter__/__len__ override in LazyJSONNamespaceFilePart already provided by the mapping base. Renamed deeply_copy_to_mutable usage to deepcopy_to_plain."
"src/oarepo_model/model.py","in_memory_package_name now delegates to a shared utils.in_memory_package_name helper. Removed a defensive contextlib.suppress(AttributeError) around __set_name__ that was masking a real error. Added a documented __symlinks__ attribute to ModelNamespace alongside __files__."
"src/oarepo_model/register.py","ModelImporter now inherits DistributionFinder (not just MetaPathFinder) so find_distributions has a real base; find_distributions/find_spec handle a None context. unregister_model now also purges the model's already-imported runtime_models_* submodules from sys.modules so a rebuild gets fresh modules, and no longer raises if the model wasn't registered (now idempotent). InMemoryTraversable/InMemoryResourceReader gained real read_text/open/__truediv__/joinpath implementations that previously raised NotImplementedError."
"src/oarepo_model/sorter.py","Fixed provider ordering so a partial's own creator preset is always sorted before any preset that modifies it, regardless of list position. Added check_preset_declarations, which warns (PresetDeclarationWarning) when a preset creates/uses a partial without declaring it in provides/modifies."
"src/oarepo_model/utils.py","Renamed/hardened deeply_copy_to_mutable to deepcopy_to_plain (now also deep-copies leaf values). camel_case_split/title_case now keep acronym runs together (e.g. PIDProvider) and title_case raises ValueError for a string with no letters/digits instead of returning an empty name. convert_to_python_identifier now guarantees a valid identifier is always returned. Added the shared in_memory_package_name helper. walk_type_tree_path_leaf/walk_ui_model_path_leaf now raise ValueError on an empty path instead of silently returning None."
"src/oarepo_model/customizations/base.py","Added a modifies property with a modifies_own_name opt-in flag: subclasses now explicitly declare which partial they modify instead of silently defaulting to (self.name,); the old implicit fallback still works but logs a one-time deprecation warning per class."
"src/oarepo_model/customizations/add_base_class.py","Set modifies_own_name = True, opting into the new explicit-declaration contract in base.py."
"src/oarepo_model/customizations/add_class.py","Set modifies_own_name = True."
"src/oarepo_model/customizations/add_class_field.py","Set modifies_own_name = True; apply() now calls the guarded add_field instead of assigning to .fields directly."
"src/oarepo_model/customizations/add_class_list.py","Set modifies_own_name = True."
"src/oarepo_model/customizations/add_dictionary.py","Set modifies_own_name = True."
